system:index,PfafIDrunoff_annua,countrunoff_annua,meanrunoff_annua,.geo
394,117628,4803,0.5546288544415882,
395,117629,17441,0.3308838513661117,
396,117630,7944,0.23314364110388391,
397,117640,12237,0.32210573556991406,
398,117650,27139,0.3771132694439377,
399,117660,11080,0.7509841498367477,
400,117670,16159,0.4801313609330409,
401,117680,7373,0.5787929296795599,
402,117690,8974,0.756432749734491,
403,117701,3998,0.2554425297647975,
404,117702,3062,0.15113621287339862,
405,117703,3054,0.18323042506017018,
406,117704,29466,0.34748644814183977,
407,117705,3461,0.4050267780556954,
408,117706,12305,0.3409410937948304,
409,117707,4800,0.39956823710729544,
410,117708,6577,0.3339571909186917,
411,117709,0,0.0,
412,117801,19371,0.32936121602568447,
