PFAF_ID,SUB_NAME,MAJ_NAME
751880,"[Double Mountain Fork Brazos, Lost Draw / Colorado Headwaters]","[Gulf Coast, Gulf Coast]"
751890,"[Mustang Draw, Sulphur Springs Draw, Johnson Draw, Monument / Seminole Draws, Beals]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751910,"[East Matagorda Bay, Lower Colorado]","[Gulf Coast, Gulf Coast]"
751920,"[Lavaca, Navidad]","[Gulf Coast, Gulf Coast]"
751930,"[Lower Guadalupe, West Matagorda Bay, East San Antonio Bay, Navidad]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751940,"[San Marco, Middle Guadalupe, Lower Guadalupe, Medina / Upper San Antonio, Cibolo, Lower San Antonio, Upper Guadalupe]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751950,"[Lower Guadalupe, West San Antonio Bay, Aransas Bay, North Corpus Christi Bay, Aransas, Mission, Lower Nueces, South Corpus Christi Bay]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751961,[Lower Nueces],[Gulf Coast]
751962,"[Hondo, Atascosa, San Miguel, Lower Frio, Upper Frio]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751963,[Middle Nueces],[Gulf Coast]
751964,[Middle Nueces],[Gulf Coast]
751965,[Upper Nueces],[Gulf Coast]
751966,[Turkey],[Gulf Coast]
751967,[Upper Nueces],[Gulf Coast]
751968,[Nueces],[Gulf Coast]
751969,[West Nueces],[Gulf Coast]
751970,"[Baffin Bay, Lower Nueces, North Laguna Madre, South Corpus Christi Bay, San Fernando, Central Laguna Madre, Palo Blanco]","[Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast, Gulf Coast]"
751980,[Central Laguna Madre],[Gulf Coast]
751990,"[South Laguna Madre, Central Laguna Madre]","[Gulf Coast, Gulf Coast]"
752101,[Salt Basin],[Río Grande - Bravo]
752102,[Salt Basin],[Río Grande - Bravo]
752103,[Salt Basin],[Río Grande - Bravo]
752104,[Tularosa Valley],[Río Grande - Bravo]
752105,[Tularosa Valley],[Río Grande - Bravo]
752106,[Jornada Draw],[Río Grande - Bravo]
752107,"[Jornada del Muerto, Elephant Butte Reservoir]","[Río Grande - Bravo, Río Grande - Bravo]"
752108,"[Tularosa Valley, Western Estancia]","[Río Grande - Bravo, Río Grande - Bravo]"
752109,"[Upper Pecos, Western Estancia]","[Río Grande - Bravo, Río Grande - Bravo]"
752110,"[Los Olmos, Bravo / San Juan, Bravo / Matamoros / Reynosa]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo]"
752121,[Bravo / San Juan],[Río Grande - Bravo]
752122,[Bravo / San Juan],[Río Grande - Bravo]
752123,[Bravo / San Juan],[Río Grande - Bravo]
752124,[Bravo / San Juan],[Río Grande - Bravo]
752125,[Bravo / San Juan],[Río Grande - Bravo]
752126,[Bravo / San Juan],[Río Grande - Bravo]
752127,[Bravo / San Juan],[Río Grande - Bravo]
752128,[Bravo / San Juan],[Río Grande - Bravo]
752129,[Bravo / San Juan],[Río Grande - Bravo]
752130,"[Bravo / Sosa, Presa Falcón / Río Salado]","[Río Grande - Bravo, Río Grande - Bravo]"
752140,[Bravo / Sosa],[Río Grande - Bravo]
752141,[Bravo / Sosa],[Río Grande - Bravo]
752142,[Bravo / Sosa],[Río Grande - Bravo]
752143,[Bravo / Sosa],[Río Grande - Bravo]
752144,[Bravo / Sosa],[Río Grande - Bravo]
752145,[Bravo / Sosa],[Río Grande - Bravo]
752146,[Bravo / Sosa],[Río Grande - Bravo]
752147,[Bravo / Sosa],[Río Grande - Bravo]
752148,[Bravo / Sosa],[Río Grande - Bravo]
752149,[Bravo / Sosa],[Río Grande - Bravo]
752151,"[San Ambrosia / Santa Isabel, International Falcon Reservoir]","[Río Grande - Bravo, Río Grande - Bravo]"
752152,[San Ambrosia / Santa Isabel],[Río Grande - Bravo]
752153,[Elm / Sycamore],[Río Grande - Bravo]
752154,[Elm / Sycamore],[Río Grande - Bravo]
752155,[Elm / Sycamore],[Río Grande - Bravo]
752156,"[Lower Devils, Dry Devils, Upper Devils]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo]"
752157,[Amistad Reservoir],[Río Grande - Bravo]
752158,[Amistad Reservoir],[Río Grande - Bravo]
752159,[Amistad Reservoir],[Río Grande - Bravo]
752160,"[Upper Pecos, Gallo Arroyo / Arroyo del Macho]","[Río Grande - Bravo, Río Grande - Bravo]"
752161,"[Lower Pecos, Howard Draw, Independence, Tunas, Lower Pecos, Coyanosa / Hackberry Draws]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo]"
752162,[Coyanosa / Hackberry Draws],[Río Grande - Bravo]
752163,[Coyanosa / Hackberry Draws],[Río Grande - Bravo]
752164,"[Barrilla Draw, Toyah, Salt Draw, Red Bluff Reservoir]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo]"
752165,"[Felix, Red Bluff Reservoir, Delaware, Upper Pecos / Black, Penasco, Upper Pecos / Long Arroyo, Sulphur Springs Draw]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Gulf Coast]"
752166,[Hondo],[Río Grande - Bravo]
752167,"[Upper Pecos, Upper Pecos / Long Arroyo]","[Río Grande - Bravo, Río Grande - Bravo]"
752168,[Gallo Arroyo / Arroyo del Macho],[Río Grande - Bravo]
752169,"[Upper Pecos, Pecos Headwaters, Taiban, Pintada Arroyo, Revuelto]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Mississippi - Missouri]"
752170,[Lago del Guaje / Lipanes],"[Mexico, Interior]"
752171,[Amistad Reservoir],[Río Grande - Bravo]
752172,"[Lozier Canyon, Big Canyon]","[Río Grande - Bravo, Río Grande - Bravo]"
752173,"[San Francisco, Reagan /  Sanderson]","[Río Grande - Bravo, Río Grande - Bravo]"
752174,"[Santiago Draw, Maravillas]","[Río Grande - Bravo, Río Grande - Bravo]"
752175,[Big Bend],[Río Grande - Bravo]
752176,[Big Bend],[Río Grande - Bravo]
752177,"[Terlingua, Black Hills / Fresno / Ojinaga, Big Bend]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo]"
752178,[Alamito],[Río Grande - Bravo]
752179,[Cibolo / Red Light],[Río Grande - Bravo]
752180,[Polvotillos / Arroyo El Marqués],"[Mexico, Interior]"
752181,"[Conchos / Presa el Granero, Conchos / Ojinaga]","[Río Grande - Bravo, Río Grande - Bravo]"
752182,[Conchos / Presa el Granero],[Río Grande - Bravo]
752183,[Conchos / Presa el Granero],[Río Grande - Bravo]
752184,"[Conchos / Presa el Granero, San Pedro 1]","[Río Grande - Bravo, Río Grande - Bravo]"
752185,[Conchos / Presa el Granero],[Río Grande - Bravo]
752186,[Conchos / Presa de la Colina],[Río Grande - Bravo]
752187,"[Florido, Conchos / Presa el Granero]","[Río Grande - Bravo, Río Grande - Bravo]"
752188,[Florido],[Río Grande - Bravo]
752189,[Florido],[Río Grande - Bravo]
752190,[Plains of San Agustin],"[North America, Colorado]"
752191,"[Mimbres, Arroyo El Carrizo, Grande / Albuquerque, Caballo, Elephant Butte Reservoir, El Paso / Las Cruces, Grande / Fort Quitman, Cibolo / Red Light]","[Mexico, Northwest Coast, Mexico, Northwest Coast, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo]"
752192,[Salado],[Río Grande - Bravo]
752193,[Grande / Albuquerque],[Río Grande - Bravo]
752194,"[San Jose, Pureco, Arroyo Chico, North Plains]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, North America, Colorado]"
752195,"[Grande / Albuquerque, Grande / Santa Fe, Jemez, Upper Rio Grande]","[Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo, Río Grande - Bravo]"
752196,[Chama],[Río Grande - Bravo]
752197,[Upper Rio Grande],[Río Grande - Bravo]
752198,[Upper Rio Grande],[Río Grande - Bravo]
752199,[Upper Rio Grande],[Río Grande - Bravo]
752200,[El Llano / Lago del Milagro],"[Mexico, Interior]"
752210,"[Fresnillos / Yesca, Presa San José / Los Pilares]","[Mexico, Interior, Mexico, Interior]"
752220,[Sierra de Rodríguez],"[Mexico, Interior]"
752230,"[Fresnillos / Yesca, Camacho / Gruñidora]","[Mexico, Interior, Mexico, Interior]"
752240,[Aguanaval],"[Mexico, Interior]"
752241,[Aguanaval],"[Mexico, Interior]"
752242,[Aguanaval],"[Mexico, Interior]"
752243,[Aguanaval],"[Mexico, Interior]"
752244,[Aguanaval],"[Mexico, Interior]"
752245,[Aguanaval],"[Mexico, Interior]"
752246,[Aguanaval],"[Mexico, Interior]"
752247,[Aguanaval],"[Mexico, Interior]"
752248,[Aguanaval],"[Mexico, Interior]"
752249,[Aguanaval],"[Mexico, Interior]"
752251,[Lago de Mayrán / Viesca],"[Mexico, Interior]"
752252,[Lago de Mayrán / Viesca],"[Mexico, Interior]"
752253,"[Lago de Mayrán / Viesca, Nazas / Rodeo]","[Mexico, Interior, Mexico, Interior]"
752254,[Nazas / Rodeo],"[Mexico, Interior]"
752255,[Nazas / Rodeo],"[Mexico, Interior]"
752256,[Presa Lázaro Cárdenas],"[Mexico, Interior]"
752257,[Presa Lázaro Cárdenas],"[Mexico, Interior]"
752258,[Presa Lázaro Cárdenas],"[Mexico, Interior]"
752259,[Presa Lázaro Cárdenas],"[Mexico, Interior]"
752260,[San Pedro],"[Mexico, Northwest Coast]"
752271,"[El Llano / Lago del Milagro, Arroyo La India / Lago Palomas]","[Mexico, Interior, Mexico, Interior]"
752272,[El Llano / Lago del Milagro],"[Mexico, Interior]"
752273,[Nazas / Torreón],"[Mexico, Interior]"
752274,[Nazas / Torreón],"[Mexico, Interior]"
752275,[Lago del Rey],"[Mexico, Interior]"
752276,[Lago del Rey],"[Mexico, Interior]"
752277,[Lago del Rey],"[Mexico, Interior]"
752280,[Valle Hundido],"[Mexico, Interior]"
752290,[Lago del Guaje / Lipanes],"[Mexico, Interior]"
752311,[Santa María - Panama],"[Mexico, Northwest Coast]"
752312,"[Mimbres, Santa María - Panama]","[Mexico, Northwest Coast, Mexico, Northwest Coast]"
752313,[Santa María - Panama],"[Mexico, Northwest Coast]"
752314,[Santa María - Panama],"[Mexico, Northwest Coast]"
752315,[Carmen],"[Mexico, Northwest Coast]"
752316,[Carmen],"[Mexico, Northwest Coast]"
752317,[Carmen],"[Mexico, Northwest Coast]"
752318,[Carmen],"[Mexico, Northwest Coast]"
752319,[Carmen],"[Mexico, Northwest Coast]"
752320,"[Santa María - Panama, El Paso / Las Cruces]","[Mexico, Northwest Coast, Río Grande - Bravo]"
752330,"[Carmen, Arroyo El Carrizo]","[Mexico, Northwest Coast, Mexico, Northwest Coast]"
752340,[Lago Bustillo y de los Mexicanos],"[Mexico, Northwest Coast]"
752350,"[Santa María - Panama, Casas Grandes]","[Mexico, Northwest Coast, Mexico, Northwest Coast]"
752360,[Casas Grandes],"[Mexico, Northwest Coast]"
752370,[Playas Lake],"[Mexico, Northwest Coast]"
753000,[San Andés and Providencia],[Southern Central America]
753101,"[Laguna Madre, Bravo / Matamoros / Reynosa]","[North Gulf, Río Grande - Bravo]"
753102,[Bravo / Matamoros / Reynosa],[Río Grande - Bravo]
753103,"[Laguna Madre, Bravo / Matamoros / Reynosa]","[North Gulf, Río Grande - Bravo]"
753104,[Laguna Madre],[North Gulf]
753105,"[San Fernando, Laguna Madre]","[North Gulf, North Gulf]"
753106,"[San Fernando, San Pablo]","[North Gulf, Mexico, Interior]"
753107,"[Soto La Marina, San Fernando, Laguna Madre]","[North Gulf, North Gulf, North Gulf]"
753108,"[Soto La Marina, San Pablo]","[North Gulf, Mexico, Interior]"
753109,"[Soto La Marina, Lago de San Andrés / Lago Morales, Pánuco]","[North Gulf, North Gulf, Río Verde]"
753201,[La Tula],"[Mexico, Interior]"
753202,"[San Luis Potosí, Presa San José / Los Pilares]","[Mexico, Interior, Mexico, Interior]"
753203,[Presa San José / Los Pilares],"[Mexico, Interior]"
753204,[Presa San José / Los Pilares],"[Mexico, Interior]"
753205,"[Matehuala, Sierra de Rodríguez]","[Mexico, Interior, Mexico, Interior]"
753206,[Sierra de Rodríguez],"[Mexico, Interior]"
753207,"[Bravo / San Juan, San Pablo]","[Río Grande - Bravo, Mexico, Interior]"
753208,[San Pablo],"[Mexico, Interior]"
753209,[La Tula],"[Mexico, Interior]"
753210,[Pánuco],[Río Verde]
753220,"[Tamesí, La Tula]","[Río Verde, Mexico, Interior]"
753230,[Pánuco],[Río Verde]
753240,[Moctezuma],[Río Verde]
753241,[Moctezuma],[Río Verde]
753242,[Moctezuma],[Río Verde]
753243,"[Tamuín, Moctezuma]","[Río Verde, Río Verde]"
753244,[Moctezuma],[Río Verde]
753245,[Moctezuma],[Río Verde]
753246,[Moctezuma],[Río Verde]
753247,[Moctezuma],[Río Verde]
753248,[Moctezuma],[Río Verde]
753249,[Moctezuma],[Río Verde]
753250,[Tamuín],[Río Verde]
753260,"[Tamuín, La Tula]","[Río Verde, Mexico, Interior]"
753270,[Tamuín],[Río Verde]
753280,"[Tamuín, La Tula, San Luis Potosí]","[Río Verde, Mexico, Interior, Mexico, Interior]"
753290,[Tamuín],[Río Verde]
753301,"[Tuxpan, Laguna de Tamiahua, Pánuco]","[North Gulf, North Gulf, Río Verde]"
753302,[Tuxpan],[North Gulf]
753303,"[Cazones, Tuxpan, Tecolutla]","[North Gulf, North Gulf, North Gulf]"
753304,[Tecolutla],[North Gulf]
753305,"[Nautla, Tecolutla, Jamapa]","[North Gulf, North Gulf, Papaloapan]"
753306,[Jamapa],[Papaloapan]
753307,"[Papaloapan, Jamapa]","[Papaloapan, Papaloapan]"
753308,[Papaloapan],[Papaloapan]
753309,[Papaloapan],[Papaloapan]
753401,[Papaloapan],[Papaloapan]
753402,[Papaloapan],[Papaloapan]
753403,[Papaloapan],[Papaloapan]
753404,[Papaloapan],[Papaloapan]
