system:index,PfafIDDomWW_monthY2014M05,countDomWW_monthY2014M05,meanDomWW_monthY2014M05,.geo
534,122722,5618,5.4292750912004196E-5,
535,122723,11478,4.777468271660817E-5,
536,122724,14659,9.604536783754515E-5,
537,122725,8871,6.880099044206593E-5,
538,122726,3932,1.1016944302042558E-4,
539,122727,1890,7.014048074692342E-5,
540,122728,7726,6.610001036716021E-5,
541,122729,8395,9.4363611136537E-5,
542,122730,4711,4.800165386339981E-5,
543,122740,8391,6.445408330239243E-5,
544,122750,4912,4.859157928449097E-5,
545,122760,12525,6.766300045130638E-5,
546,122770,24193,5.703757691159191E-5,
547,122781,503,1.2305015059605974E-5,
548,122782,2807,2.6530858861944206E-5,
549,122783,2653,1.0749555358970376E-5,
550,122784,25385,1.5890619136605766E-4,
551,122785,1998,4.193499904050447E-5,
552,122786,1849,7.972226781049606E-5,
553,122787,5021,4.869978090877984E-5,
554,122788,7791,4.0783264393408926E-5,
555,122789,5635,1.5187312507161435E-4,
556,122790,26804,6.91946756932205E-5,
557,122810,16351,3.54074817772703E-5,
558,122820,26020,5.459141516727776E-6,
559,122830,15823,5.554993493187598E-6,
560,122841,427,3.4589755265665827E-6,
561,122842,3197,4.047033557199159E-7,
562,122843,2941,9.658923139646728E-7,
563,122844,5885,4.331472261683697E-7,
564,122845,151,1.1711236062600755E-6,
565,122846,18775,6.042833110750004E-7,
566,122847,2010,3.1617181427501547E-7,
567,122848,6351,4.5340712560887924E-7,
568,122849,6829,4.876636575133589E-7,
569,122851,10,1.2230996547229528E-5,
570,122852,5277,2.370922287119671E-5,
571,122853,162,3.7947288481654215E-5,
572,122854,5104,2.3685849076884984E-5,
573,122855,11928,3.8152180519636235E-6,
574,122856,6580,6.534054855464177E-7,
575,122857,2106,1.3976436574705455E-6,
576,122858,6842,5.413738194037446E-7,
577,122859,830,1.236532300069496E-6,
578,122860,9486,4.808268174268091E-7,
579,122870,11735,5.042071260871666E-6,
580,122880,12156,1.0503959827102284E-6,
581,122890,11676,2.2561418339409053E-6,
582,122911,7164,3.4069915676921835E-5,
583,122912,18732,1.6725378159548665E-5,
584,122913,17705,2.061201496959234E-5,
585,122914,9276,2.2412486885679247E-5,
586,122915,11505,2.8256222539424597E-5,
587,122916,10313,3.133184722362811E-5,
588,122917,400,3.187018962052196E-5,
589,122918,13061,4.8303284569406974E-5,
590,122919,11179,7.501315394283374E-5,
591,122921,609,2.8032394971785125E-5,
592,122922,9754,2.636441585616014E-5,
593,122923,614,3.974877939609151E-5,
594,122924,15537,1.3705427277664732E-5,
595,122925,2123,2.29434702227171E-5,
596,122926,5763,2.769339590617136E-6,
597,122927,501,2.1492709440188555E-5,
598,122928,6274,1.8713430344827658E-6,
599,122929,9474,1.8610633772702627E-6,
600,122930,30101,3.257916782548712E-5,
601,122941,75,2.2621256187159668E-5,
602,122942,6053,2.247259366821317E-5,
603,122943,2293,2.4346079807692502E-5,
604,122944,6592,6.482902462095639E-6,
605,122945,2501,1.4343037157857369E-5,
606,122946,7806,1.3351911430256768E-6,
607,122947,17374,1.5721076850741344E-6,
608,122948,3721,1.0251634091280185E-6,
609,122949,9816,1.2564250979434183E-6,
610,122950,306,2.197844380970598E-5,
